"ID_REF"	"GSM7111530"	"GSM7111531"	"GSM7111532"	"GSM7111533"	"GSM7111534"	"GSM7111535"
"TC1000002046.mm.2"	3458.905	3421.467	3218.4048	3467.0315	4166.5435	3951.4878
"TC1000002049.mm.2"	87.959724	92.35945	86.90177	75.6418	81.62002	79.08199
"TC1000002050.mm.2"	5609.8105	4708.892	4471.6416	2542.4558	3284.2295	2756.2092
"TC1000002054.mm.2"	518.43274	580.563	478.72656	566.7783	509.04947	575.156
"TC1000002055.mm.2"	140.83133	149.89262	152.75395	147.71672	172.6149	120.695244
"TC1000002056.mm.2"	1083.8965	1490.0759	1053.9828	1103.8503	892.136	1301.3314
"TC1000002057.mm.2"	161.23718	121.61634	131.04001	134.32893	144.97662	113.07005
"TC1000002062.mm.2"	1736.763	1880.2589	1867.814	1520.1469	1380.5919	1444.0242
"TC1000002063.mm.2"	252.93846	297.39432	263.90463	242.26274	251.04617	212.74525
"TC1000002067.mm.2"	38.819904	38.713375	43.742203	51.659023	35.581425	40.42234
"TC1000002076.mm.2"	1151.9374	936.9697	825.73724	1420.9218	975.94336	959.9386
"TC1000002086.mm.2"	259.45312	210.39604	219.67215	293.7553	243.2285	305.55396
"TC1000002092.mm.2"	287.35928	340.28455	310.7654	444.1346	431.44067	353.90433
"TC1000002093.mm.2"	2142.3005	2271.0327	1997.8591	1320.9325	1888.0383	2042.6648
"TC1000002099.mm.2"	32.187828	37.45843	33.52257	33.80279	33.2465	31.62889
"TC1000002111.mm.2"	98.710625	111.76131	99.57065	84.49304	110.27184	88.286644
"TC1000002121.mm.2"	39.591515	40.299213	38.61689	46.325153	42.68529	37.82786
"TC1000002147.mm.2"	36.306335	33.804737	31.69729	34.971264	25.869164	29.70617
"TC1000002148.mm.2"	50.25941	40.777565	51.173	44.482494	43.431488	41.294167
